29,26.87
69,26.87
107,26.87
147,26.87
186,26.87
226,26.87
265,26.87
305,26.87
345,26.87
384,26.87
424,26.87
463,26.87
503,26.87
542,26.87
582,26.87
620,26.81
1268,26.69
1915,26.37
2561,26.06
3208,25.75
3855,25.50
4501,25.19
5149,24.94
5796,24.69
6443,24.44
7090,24.19
7737,24.00
8384,23.75
9032,23.56
9679,23.37
10326,23.19
10973,23.00
11620,22.81
12267,22.69
12916,22.50
13563,22.37
14210,22.25
14857,22.12
15505,22.00
16153,21.87
16800,21.75
17447,21.62
18095,21.50
18742,21.44
19389,21.31
20038,21.25
20685,21.12
21333,21.06
21980,20.94
22627,20.87
23275,20.81
23923,20.75
24571,20.69
25218,20.56
25866,20.50
26513,20.44
27162,20.37
27809,20.31
28457,20.25
29104,20.19
29752,20.19
30399,20.12
31048,20.06
31695,20.00
32343,20.00
32990,19.94
33638,19.87
34287,19.87
34934,19.81
35582,19.75
36229,19.69
36877,19.69
37525,19.62
38173,19.62
38821,19.56
39468,19.56
40116,19.50
40764,19.50
41412,19.44
42060,19.44
42707,19.37
43355,19.37
44003,19.31
44650,19.31
45299,19.31
45947,19.25
46595,19.25
47242,19.25
47890,19.19
48539,19.19
49186,19.19
49834,19.12
50482,19.12
51129,19.12
51777,19.06
52426,19.06
53073,19.06
53721,19.06
54369,19.06
55016,19.00
55665,19.00
56313,19.00
56960,19.00
57608,18.94
58256,18.94
58903,18.94
59552,18.94
60200,18.94
60848,18.94
61495,18.87
62143,18.87
62792,18.87
63440,18.87
64087,18.87
64735,18.87
65383,18.81
66031,18.81
66679,18.81
67327,18.81
67975,18.81
68622,18.81
69270,18.81
69919,18.81
70567,18.81
71214,18.81
71862,18.75
72510,18.75
73159,18.75
73806,18.75
74454,18.75
75102,18.75
75750,18.75
76398,18.75
77046,18.75
77694,18.75
78342,18.75
78989,18.69
79637,18.75
80286,18.69
80933,18.69
81581,18.69
82229,18.69
82877,18.69
83525,18.69
84173,18.69
84821,18.69
85469,18.69
86116,18.69
86764,18.69
87413,18.69
88061,18.69
88708,18.69
89356,18.69
90004,18.69
90653,18.62
91300,18.69
91948,18.69
92596,18.62
93244,18.62
93892,18.62
94540,18.62
95188,18.62
95835,18.62
96483,18.62
97131,18.62
97780,18.62
98427,18.62
99075,18.62
99723,18.62
100371,18.62
101019,18.62
101667,18.62
102315,18.62
102963,18.62
103611,18.62
104258,18.62
104907,18.62
105555,18.62
106203,18.62
106851,18.62
107498,18.62
108147,18.62
108795,18.62
109443,18.62
110091,18.62
110738,18.62